               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11765,            0.036974,            0.042618,                   0,                   0,                   0,                   0,             0.11092,            0.038293,            0.040595,              0.0937,              0.0007,              0.0007
                   1,             0.11572,            0.039257,            0.041807,           0.0043378,             0.18056,           0.0032779,          0.00055657,             0.10526,            0.037599,            0.039693,             0.08647,           0.0014703,           0.0014703
                   2,             0.11018,              0.0352,            0.040798,           0.0021689,             0.13889,           0.0016201,          0.00034833,            0.098964,            0.037493,            0.038925,            0.079209,           0.0022089,           0.0022089
                   3,             0.10308,            0.038611,            0.039733,           0.0024632,             0.20833,           0.0023521,          0.00085065,            0.089464,            0.039228,            0.037671,            0.071916,           0.0029159,           0.0029159
                   4,             0.10248,            0.040126,            0.037763,           0.0027921,                0.25,           0.0031843,          0.00095784,            0.087709,            0.038538,            0.036872,            0.064591,           0.0035911,           0.0035911
                   5,              0.1015,            0.037678,            0.037171,           0.0027962,             0.22222,           0.0064096,           0.0035225,            0.084094,            0.039611,            0.035293,            0.057235,           0.0042347,           0.0042347
                   6,            0.095966,            0.035622,             0.03541,           0.0027744,                0.25,            0.010878,           0.0048072,            0.081658,            0.039984,            0.034586,            0.049847,           0.0048466,           0.0048466
                   7,            0.095968,            0.038578,            0.035011,           0.0012077,               0.125,           0.0044719,           0.0021926,            0.081088,            0.040381,            0.034559,            0.042427,           0.0054268,           0.0054268
                   8,            0.095363,            0.041327,            0.033866,           0.0029273,             0.29167,            0.020305,             0.00375,            0.081998,            0.040256,            0.035052,            0.034975,           0.0059754,           0.0059754
                   9,            0.092979,            0.043456,            0.032574,           0.0030659,             0.29167,            0.017669,           0.0040289,            0.083701,            0.039663,            0.034921,            0.027492,           0.0064922,           0.0064922
                  10,            0.088961,             0.04505,            0.030966,           0.0027165,                0.25,            0.046378,            0.011641,            0.079787,            0.040395,            0.032608,            0.019977,           0.0069774,           0.0069774
                  11,            0.088667,            0.044679,            0.030646,            0.005137,             0.43056,            0.041615,            0.017496,            0.078529,            0.040428,            0.032047,            0.012431,           0.0074309,           0.0074309
                  12,            0.088794,            0.044873,            0.029978,            0.005825,             0.44444,            0.079046,            0.032405,            0.076318,            0.041213,            0.032142,            0.007624,            0.007624,            0.007624
                  13,            0.084089,            0.041435,            0.029853,           0.0068122,             0.52778,            0.038547,            0.010625,             0.08066,            0.038043,            0.030722,            0.007624,            0.007624,            0.007624
                  14,            0.083635,            0.043953,            0.028332,           0.0059187,             0.47222,            0.094188,            0.018522,            0.081432,            0.037779,             0.02932,            0.007426,            0.007426,            0.007426
                  15,            0.082653,            0.046011,            0.026727,            0.021202,                0.25,             0.10044,            0.054408,            0.080718,            0.037326,            0.028773,            0.007228,            0.007228,            0.007228
                  16,            0.079875,            0.039573,            0.027381,             0.37347,               0.125,            0.072182,            0.039422,            0.077526,            0.038452,            0.028121,             0.00703,             0.00703,             0.00703
                  17,            0.082388,            0.043657,            0.025768,             0.35594,            0.041667,            0.069391,            0.034901,            0.075983,            0.038394,            0.028044,            0.006832,            0.006832,            0.006832
                  18,            0.080127,            0.042047,            0.025918,             0.35868,            0.041667,            0.073689,            0.045123,              0.0755,             0.03798,            0.028096,            0.006634,            0.006634,            0.006634
                  19,            0.080771,            0.044341,            0.025408,             0.71427,            0.083333,            0.078154,            0.029716,            0.074859,            0.038051,             0.02705,            0.006436,            0.006436,            0.006436
                  20,            0.075099,            0.040538,            0.023548,             0.38202,             0.16667,            0.066456,             0.02404,            0.074213,            0.037378,            0.026434,            0.006238,            0.006238,            0.006238
                  21,            0.075478,            0.039586,            0.023267,             0.36202,            0.041667,            0.047054,            0.019577,            0.073238,            0.037247,            0.025294,             0.00604,             0.00604,             0.00604
                  22,            0.075773,            0.041431,            0.022097,             0.37821,            0.041667,             0.04196,            0.011122,            0.074328,            0.036857,            0.025717,            0.005842,            0.005842,            0.005842
                  23,            0.076573,            0.038623,            0.022533,             0.35888,             0.20833,            0.046757,            0.017907,            0.074422,             0.03707,            0.025189,            0.005644,            0.005644,            0.005644
                  24,            0.073191,            0.035399,             0.02025,             0.36732,               0.125,            0.053544,            0.024053,             0.07346,            0.036914,            0.024532,            0.005446,            0.005446,            0.005446
                  25,            0.074813,            0.038502,            0.020637,             0.41278,            0.083333,            0.050941,            0.018298,            0.076054,            0.036423,            0.024257,            0.005248,            0.005248,            0.005248
                  26,            0.075344,            0.038404,             0.02078,             0.43788,               0.125,            0.088466,            0.022948,            0.072146,            0.036665,            0.022821,             0.00505,             0.00505,             0.00505
                  27,            0.075817,            0.036083,            0.018967,             0.41038,            0.083333,            0.070169,            0.028529,            0.072621,            0.037293,            0.023615,            0.004852,            0.004852,            0.004852
                  28,            0.074132,            0.036992,            0.017802,             0.39526,                0.25,            0.071484,            0.015097,            0.072532,            0.036933,            0.023009,            0.004654,            0.004654,            0.004654
                  29,             0.07342,            0.039027,            0.018117,             0.43898,            0.083333,             0.10577,            0.027973,            0.071457,            0.036909,            0.022619,            0.004456,            0.004456,            0.004456
                  30,            0.070281,            0.040055,            0.017419,             0.44904,            0.083333,             0.12554,            0.027466,            0.071076,            0.036729,            0.022591,            0.004258,            0.004258,            0.004258
                  31,            0.071035,            0.041505,            0.016208,             0.50379,            0.083333,            0.058975,            0.023133,            0.073486,            0.036136,            0.022153,             0.00406,             0.00406,             0.00406
                  32,             0.06815,            0.034308,            0.014923,             0.45694,            0.083333,             0.19486,            0.071922,             0.07107,            0.036049,            0.022087,            0.003862,            0.003862,            0.003862
                  33,            0.069382,             0.03682,            0.014556,             0.41262,             0.16667,             0.18205,            0.071387,            0.072926,            0.035852,            0.022566,            0.003664,            0.003664,            0.003664
                  34,            0.072691,            0.036765,            0.015859,              0.5055,             0.20833,              0.1561,            0.052764,            0.070694,            0.036294,            0.023286,            0.003466,            0.003466,            0.003466
                  35,            0.067801,            0.030227,            0.013939,             0.51313,             0.13883,             0.17216,            0.056274,            0.070636,            0.036042,            0.023358,            0.003268,            0.003268,            0.003268
                  36,            0.071561,            0.036703,            0.013708,             0.42487,            0.083333,             0.11349,            0.047818,            0.072918,            0.035621,             0.02325,             0.00307,             0.00307,             0.00307
                  37,            0.070839,            0.036523,            0.012654,             0.46889,             0.16667,             0.14846,            0.065575,            0.068524,            0.036518,            0.023303,            0.002872,            0.002872,            0.002872
                  38,            0.067763,            0.036358,            0.013891,             0.44326,             0.18227,             0.13584,            0.059562,              0.0692,              0.0365,            0.023205,            0.002674,            0.002674,            0.002674
                  39,            0.064579,            0.039488,            0.012818,             0.46942,             0.16667,             0.14478,            0.076189,             0.06804,            0.036523,             0.02295,            0.002476,            0.002476,            0.002476
                  40,            0.065028,              0.0386,            0.012041,             0.58864,             0.12488,             0.14332,            0.074792,            0.067874,             0.03641,            0.022776,            0.002278,            0.002278,            0.002278
                  41,            0.065551,            0.036405,            0.012457,             0.52659,             0.16667,             0.17386,            0.081255,            0.068717,            0.036016,             0.02268,             0.00208,             0.00208,             0.00208
                  42,            0.062868,            0.035274,            0.012272,             0.62991,             0.16667,             0.17969,             0.07296,            0.067438,            0.036065,            0.022655,            0.001882,            0.001882,            0.001882
